STATE,EVENT_CATEGORY,COUNT
new hampshire,Hurricane,1.0
new hampshire,Storm,44.8
new hampshire,Tide,1.0
new hampshire,Tornado,2.36363636364
new hampshire,Wind,81.55
new hampshire,Winter Weather,67.2
new jersey,Flood,94.95
new jersey,Heat,109.421052632
new jersey,Hurricane,3.0
new jersey,Storm,141.45
new jersey,Tide,15.75
new jersey,Tornado,3.94736842105
new jersey,Wind,242.6
new jersey,Winter Weather,122.2
new mexico,Flood,45.1
new mexico,Heat,134.722222222
new mexico,Storm,141.25
new mexico,Tornado,11.05
new mexico,Wind,108.7
new mexico,Winter Weather,59.85
new york,Flood,174.9
new york,Heat,39.4666666667
new york,Storm,301.05
new york,Tide,3.8
new york,Tornado,9.8
new york,Wind,439.95
new york,Winter Weather,254.55
north carolina,Flood,125.85
north carolina,Heat,76.0
north carolina,Hurricane,40.125
north carolina,Storm,412.45
north carolina,Tide,1.14285714286
north carolina,Tornado,32.5
north carolina,Wind,487.2
north carolina,Winter Weather,198.15
north dakota,Flood,41.75
north dakota,Heat,15.1
north dakota,Storm,384.85
north dakota,Tornado,42.6
north dakota,Wind,243.2
north dakota,Winter Weather,36.95
ohio,Flood,163.9
ohio,Heat,51.5
ohio,Storm,340.6
ohio,Tide,3.0
ohio,Tornado,20.75
ohio,Wind,519.6
ohio,Winter Weather,98.7
oklahoma,Flood,113.55
oklahoma,Heat,214.411764706
oklahoma,Storm,697.6
oklahoma,Tornado,62.8
oklahoma,Wind,490.55
oklahoma,Winter Weather,64.1
oregon,Flood,26.3
oregon,Heat,21.7
oregon,Storm,54.75
oregon,Tide,3.63636363636
oregon,Tornado,5.36842105263
oregon,Wind,119.65
oregon,Winter Weather,81.45
pennsylvania,Flood,171.4
pennsylvania,Heat,64.4
pennsylvania,Storm,259.95
pennsylvania,Tide,5.375
pennsylvania,Tornado,16.5
pennsylvania,Wind,514.65
pennsylvania,Winter Weather,165.7
puerto rico,Flood,89.75
puerto rico,Heat,6.84615384615
puerto rico,Hurricane,7.25
puerto rico,Storm,32.15
puerto rico,Tide,2.78571428571
puerto rico,Tornado,5.76470588235
puerto rico,Wind,8.05
rhode island,Flood,8.78947368421
rhode island,Heat,4.0
rhode island,Storm,14.7
rhode island,Tide,1.0
rhode island,Tornado,1.6
rhode island,Wind,24.6
rhode island,Winter Weather,16.75
south carolina,Flood,61.0
south carolina,Heat,41.6666666667
south carolina,Hurricane,7.25
south carolina,Storm,238.3
south carolina,Tide,5.0
south carolina,Tornado,23.95
south carolina,Wind,370.7
south carolina,Winter Weather,38.5
south dakota,Flood,66.15
south dakota,Heat,71.0833333333
south dakota,Storm,570.3
south dakota,Tornado,29.45
south dakota,Wind,346.2
south dakota,Winter Weather,83.25
tennessee,Flood,108.3
tennessee,Heat,109.2
tennessee,Storm,270.25
